image,width,height,pixels,edge_pixels,edge_ratio,gpu_ms
synthetic_0099.pgm,256,256,65536,49009,0.747818,0.012960
synthetic_0100.pgm,256,256,65536,45839,0.699448,0.013248
synthetic_0101.pgm,256,256,65536,42036,0.641418,0.014368
synthetic_0102.pgm,256,256,65536,38517,0.587723,0.014016
synthetic_0103.pgm,256,256,65536,35652,0.544006,0.014336
synthetic_0104.pgm,256,256,65536,33307,0.508224,0.014432
synthetic_0105.pgm,256,256,65536,31210,0.476227,0.013952
synthetic_0106.pgm,256,256,65536,29287,0.446884,0.013408
synthetic_0107.pgm,256,256,65536,27621,0.421463,0.012288
synthetic_0108.pgm,256,256,65536,26119,0.398544,0.013696
synthetic_0109.pgm,256,256,65536,24838,0.378998,0.014656
synthetic_0110.pgm,256,256,65536,48743,0.743759,0.016320
synthetic_0111.pgm,256,256,65536,45742,0.697968,0.012384
synthetic_0112.pgm,256,256,65536,41982,0.640594,0.014336
synthetic_0113.pgm,256,256,65536,38591,0.588852,0.014080
synthetic_0114.pgm,256,256,65536,35615,0.543442,0.013248
synthetic_0115.pgm,256,256,65536,33273,0.507706,0.014336
synthetic_0116.pgm,256,256,65536,31079,0.474228,0.014336
synthetic_0117.pgm,256,256,65536,29089,0.443863,0.013248
synthetic_0118.pgm,256,256,65536,27508,0.419739,0.012768
synthetic_0119.pgm,256,256,65536,26146,0.398956,0.013504
synthetic_0120.pgm,256,256,65536,24913,0.380142,0.013120
synthetic_0121.pgm,256,256,65536,48962,0.747101,0.014016
synthetic_0122.pgm,256,256,65536,45814,0.699066,0.012672
synthetic_0123.pgm,256,256,65536,42057,0.641739,0.014336
synthetic_0124.pgm,256,256,65536,38520,0.587769,0.012736
synthetic_0125.pgm,256,256,65536,35663,0.544174,0.013088
synthetic_0126.pgm,256,256,65536,33148,0.505798,0.013952
synthetic_0127.pgm,256,256,65536,31008,0.473145,0.013760
synthetic_0128.pgm,256,256,65536,29111,0.444199,0.013856
synthetic_0129.pgm,256,256,65536,27500,0.419617,0.014336
synthetic_0130.pgm,256,256,65536,26088,0.398071,0.013504
synthetic_0131.pgm,256,256,65536,24869,0.379471,0.014336
synthetic_0132.pgm,256,256,65536,48750,0.743866,0.012864
synthetic_0133.pgm,256,256,65536,45833,0.699356,0.014336
synthetic_0134.pgm,256,256,65536,41960,0.640259,0.013312
synthetic_0135.pgm,256,256,65536,38548,0.588196,0.014080
synthetic_0136.pgm,256,256,65536,35809,0.546402,0.014208
synthetic_0137.pgm,256,256,65536,33216,0.506836,0.013824
synthetic_0138.pgm,256,256,65536,30951,0.472275,0.012800
synthetic_0139.pgm,256,256,65536,29186,0.445343,0.014272
synthetic_0140.pgm,256,256,65536,27585,0.420914,0.012832
synthetic_0141.pgm,256,256,65536,26161,0.399185,0.013440
synthetic_0142.pgm,256,256,65536,24999,0.381454,0.012256
synthetic_0143.pgm,256,256,65536,48959,0.747055,0.013216
synthetic_0144.pgm,256,256,65536,45784,0.698608,0.012608
synthetic_0145.pgm,256,256,65536,42190,0.643768,0.012640
synthetic_0146.pgm,256,256,65536,38748,0.591248,0.013216
synthetic_0147.pgm,256,256,65536,35941,0.548416,0.014336
synthetic_0148.pgm,256,256,65536,33479,0.510849,0.014048
synthetic_0149.pgm,256,256,65536,31209,0.476212,0.013312
synthetic_0150.pgm,256,256,65536,29176,0.445190,0.013312
synthetic_0151.pgm,256,256,65536,27562,0.420563,0.012768
synthetic_0152.pgm,256,256,65536,26124,0.398621,0.013824
synthetic_0153.pgm,256,256,65536,24896,0.379883,0.013568
synthetic_0154.pgm,256,256,65536,48851,0.745407,0.014304
synthetic_0155.pgm,256,256,65536,45871,0.699936,0.013664
synthetic_0156.pgm,256,256,65536,42100,0.642395,0.013120
synthetic_0157.pgm,256,256,65536,38695,0.590439,0.013120
synthetic_0158.pgm,256,256,65536,35819,0.546555,0.014336
synthetic_0159.pgm,256,256,65536,33218,0.506866,0.014336
synthetic_0160.pgm,256,256,65536,31121,0.474869,0.014240
synthetic_0161.pgm,256,256,65536,29127,0.444443,0.014016
synthetic_0162.pgm,256,256,65536,27464,0.419067,0.014336
synthetic_0163.pgm,256,256,65536,25944,0.395874,0.013920
synthetic_0164.pgm,256,256,65536,24538,0.374420,0.014336
synthetic_0165.pgm,256,256,65536,48676,0.742737,0.013888
synthetic_0166.pgm,256,256,65536,45485,0.694046,0.013920
synthetic_0167.pgm,256,256,65536,41680,0.635986,0.014144
synthetic_0168.pgm,256,256,65536,38291,0.584274,0.013792
synthetic_0169.pgm,256,256,65536,35453,0.540970,0.013088
synthetic_0170.pgm,256,256,65536,33006,0.503632,0.014080
synthetic_0171.pgm,256,256,65536,31127,0.474960,0.013920
synthetic_0172.pgm,256,256,65536,29430,0.449066,0.013760
synthetic_0173.pgm,256,256,65536,27808,0.424316,0.014400
synthetic_0174.pgm,256,256,65536,26244,0.400452,0.013440
synthetic_0175.pgm,256,256,65536,25031,0.381943,0.012896
synthetic_0176.pgm,256,256,65536,49002,0.747711,0.014208
synthetic_0177.pgm,256,256,65536,45863,0.699814,0.014336
synthetic_0178.pgm,256,256,65536,42174,0.643524,0.012480
synthetic_0179.pgm,256,256,65536,38680,0.590210,0.014304
synthetic_0180.pgm,256,256,65536,35862,0.547211,0.014336
synthetic_0181.pgm,256,256,65536,33506,0.511261,0.014336
synthetic_0182.pgm,256,256,65536,31360,0.478516,0.012576
synthetic_0183.pgm,256,256,65536,29564,0.451111,0.014304
synthetic_0184.pgm,256,256,65536,27571,0.420700,0.013632
